"cap";"categoria";"clifor";"cod_agente";"conto";"es_iva";"listino";"localita";"mastro";"natura";"pagamento";"pr";"rag_sociale1";"sconto";"spese";"tipo_fatturaz";"zona"
"52043";"";"F";"0";"320";"0";"";"CASTIGLION FIORENTINO";"40";"1";"RD6";"AR";"EFFETRE SRL";"0";"1";"N";""
"52043";"";"F";"0";"475";"0";"";"CASTIGLION FIORENTINO";"40";"2";"R.D";"AR";"M.R.G.IMBALLAGGI DI ROSSI";"0";"1";"N";""
"52044";"";"C";"0";"36";"0";"16";"CORTONA";"14";"1";"RD3";"AR";"SERVIZI RE SRL";"0";"0";"1";"16"
"52045";"";"F";"0";"130";"0";"";"FOIANO DELLA CHIANA";"40";"1";"RB6";"AR";"CASEIFIC. MATTEASSI ONELIO SRL";"0";"1";"N";""
"52047";"";"C";"0";"66";"0";"68";"MARCIANO DELLA CHIANA";"14";"2";"CON";"AR";"CLIENTE 50";"0";"0";"2";"16"
"52047";"";"F";"0";"378";"0";"";"MARCIANO DELLA CHIANA";"40";"1";"RD3";"AR";"CHIMERA FRESH LINE SNC DI";"0";"1";"N";""
"52048";"";"C";"0";"23";"0";"1";"MONTE SAN SAVINO";"14";"1";"R.D";"AR";"LODOVICHI RICEVIMENTI SRL";"0";"0";"1";"16"
"52048";"";"F";"0";"109";"0";"";"MONTE SAN SAVINO";"40";"1";"RB3";"AR";"PULICOOP SOCIETA' COOPERATIVA";"0";"1";"N";""
"52048";"";"F";"0";"19";"0";"";"MONTE SAN SAVINO";"40";"1";"RBB";"AR";"OLEIFICIO TOSCANO MORETTINI";"0";"1";"N";""
"52048";"DET";"C";"0";"68";"0";"59";"MONTE SAN SAVINO";"14";"2";"R.D";"AR";"TRATTORIA DEL FORNO DI";"0";"0";"2";"16"
"52100";"";"C";"0";"18";"0";"7";"AREZZO";"14";"1";"RD3";"AR";"D.I.P.A. SNC";"0";"0";"1";"16"
"52100";"";"C";"0";"2";"0";"3";"AREZZO";"14";"1";"RD3";"AR";"CADLA Spa";"0";"0";"1";"16"
"52100";"";"C";"0";"3";"0";"4";"AREZZO";"14";"1";"RD3";"AR";"CADLA S.p.a.";"0";"0";"1";"16"
"52100";"";"C";"0";"31";"0";"6";"AREZZO";"14";"1";"RD3";"AR";"S.A.M.A. SRL";"0";"0";"1";"16"
"52100";"";"C";"0";"63";"0";"35";"AREZZO";"14";"1";"R.D";"AR";"IMECI SRL";"0";"0";"2";"16"
"52100";"";"F";"0";"104";"0";"";"AREZZO";"40";"1";"R.D";"AR";"DR.MODIANO & ASSOCIATI SPA";"0";"1";"N";""
"52100";"";"F";"0";"121";"0";"";"AREZZO";"40";"1";"3RD";"AR";"VERA TOSCANA S.R.L.";"0";"1";"N";""
"52100";"";"F";"0";"186";"0";"";"AREZZO";"40";"1";"RD3";"AR";"CLUODITALIA TELECOMUNICAZ.SPA";"0";"1";"N";""
"52100";"";"F";"0";"193";"0";"";"AREZZO";"40";"1";"RB3";"AR";"TEL TELEFONIA SNC DI";"0";"1";"N";""
"52100";"";"F";"0";"195";"0";"";"AREZZO";"40";"2";"RD3";"AR";"CASATI LAVORAZIONE FERRO";"0";"1";"N";""
"52100";"";"F";"0";"216";"0";"";"AREZZO";"40";"1";"RBB";"AR";"TRIS PARTY SERVICES SRL";"0";"1";"N";""
